district,neighborhood,total_listings,avg_price,avg_price_per_m2
Bakırköy,Ataköy 7-8-9-10. Kısım Mah.,13,40000.0,530.7692307692307
Beyoğlu,Bereketzade Mah.,7,40000.0,500.0
Sarıyer,Kireçburnu Mah.,23,40000.0,300.0
Şişli,Meşrutiyet Mah.,23,40000.0,499.98571428571427
Güngören,Mehmet Nesih Özmen Mah.,3,40000.0,296.2962962962963
Beyoğlu,Ömer Avni Mah.,9,40000.0,437.5
Sarıyer,Sarıyer Merkez Mah.,11,40000.0,357.14285714285717
Ümraniye,Tatlısu Mah.,3,40000.0,344.82758620689657
Adalar,Heybeliada Mah.,7,40000.0,454.54545454545456
Beşiktaş,Kuruçeşme Mah.,3,40000.0,300.0
Kartal,Kordonboyu Mah.,11,40000.0,492.3076923076923
Kartal,Soğanlık Yeni Mah.,5,40000.0,400.0
Şile,Kumbaba Mah.,3,40000.0,352.94117647058823
Sarıyer,Bahçeköy Yeni Mah.,4,40000.0,232.32323232323233
Ataşehir,Barbaros Mah.,12,39750.0,530.2222222222222
Ataşehir,Küçükbakkalköy Mah.,15,39500.0,392.85714285714283
Maltepe,Cevizli Mah.,8,39250.0,412.42424242424244
Ümraniye,Aşağı Dudullu Mah.,5,39000.0,293.75
Maltepe,Çınar Mah.,17,38750.0,400.0
Beyoğlu,Firuzağa Mah.,22,38500.0,483.33333333333337
Başakşehir,Ziya Gökalp Mah.,24,38000.0,333.3333333333333
Adalar,Burgazada Mah.,13,37500.0,416.6666666666667
Kartal,Orhantepe Mah.,10,37500.0,345.6140350877193
Maltepe,Altayçeşme Mah.,20,37500.0,340.90909090909093
Sultanbeyli,Adil Mah.,4,37000.0,206.86864014801108
Kadıköy,Dumlupınar Mah.,3,37000.0,665.7407407407408
Beşiktaş,Konaklar Mah.,8,37000.0,484.8484848484849
Esenler,15 Temmuz Mah.,4,37000.0,401.0416666666667
Zeytinburnu,Maltepe Mah.,7,36999.0,528.5571428571428
Küçükçekmece,Sultan Murat Mah.,3,36750.0,229.6875
Beylikdüzü,Sahil Mah.,18,36000.0,245.0
Beyoğlu,Hacımimi Mah.,4,36000.0,536.5629420084865
Üsküdar,Bahçelievler Mah.,10,35500.0,297.83549783549785
Maltepe,İdealtepe Mah.,20,35250.0,377.5
Beykoz,Kanlıca Mah.,8,35000.0,350.0
Şişli,Bozkurt Mah.,22,35000.0,324.56140350877195
Adalar,Maden Mah.,17,35000.0,400.0
Bahçelievler,Yenibosna Merkez Mah.,16,35000.0,333.3926031294452
Üsküdar,Sultantepe Mah.,5,35000.0,425.0
Üsküdar,Aziz Mahmut Hüdayi Mah.,20,35000.0,453.33333333333337
Ümraniye,Finanskent Mah.,6,35000.0,489.81900452488685
Beyoğlu,Yahya Kahya Mah.,3,35000.0,269.2307692307692
Maltepe,Küçükyalı Mah.,22,35000.0,292.7350427350427
Maltepe,Başıbüyük Mah.,7,35000.0,463.91752577319585
Pendik,Yayalar Mah.,3,35000.0,250.0
